Pathways	Genes of pathway	Enzymes of pathway	Ontology - parents of class	Products of pathway
phosphatidylethanolamine biosynthesis I	"pssA // ""psd"""	"PssA // ""phosphatidylserine decarboxylase, heterodimer"""	Phosphatidylethanolamine Biosynthesis	"an L-1-phosphatidylethanolamine // ""CO<SUB>2</SUB>"" // ""CMP"""
phosphopantothenate biosynthesis I	"panC // ""panE"" // ""ilvC"" // ""panB"" // ""coaA"""	"pantothenate synthetase monomer // ""2-dehydropantoate 2-reductase"" // ""acetohydroxy acid isomeroreductase"" // ""3-methyl-2-oxobutanoate hydroxymethyltransferase monomer"" // ""pantothenate kinase monomer"""	Pantothenate Biosynthesis	"(<i>R</i>)-4'-phosphopantothenate // ""ADP"" // ""a tetrahydrofolate"" // ""NADP<sup>+</sup>"" // ""diphosphate"" // ""AMP"""
polyisoprenoid biosynthesis (<i>E. coli</i>)	"ispA // ""idi"" // ""ispU"" // ""bacA"" // ""ybjG"" // ""pgpB"" // ""ispB"""	"FPPSYN-MONOMER // ""isopentenyl diphosphate isomerase"" // ""undecaprenyl diphosphate synthase"" // ""undecaprenyl pyrophosphate phosphatase"" // ""undecaprenyl pyrophosphate phosphatase"" // PGPPHOSPHAB-MONOMER // ""octaprenyl diphosphate synthase"""	"Polyprenyl Biosynthesis // ""Superpathways"""	
polymyxin resistance	"arnA // ""arnB"" // ""arnC"" // ""arnT"""	"fused UDP-L-Ara4N formyltransferase and UDP-GlcA dehydrogenase // G7166-MONOMER // ""undecaprenyl phosphate-L-Ara4FN transferase"" // ""4-amino-4-deoxy-L-arabinose (L-Ara4N) transferase"""	"Antibiotic Resistance // ""Lipopolysaccharide Biosynthesis"""	"4'-&alpha;-L-Ara4<i>N</i>-&alpha;-Kdo-(2&rarr;4)-&alpha;-Kdo-(2&rarr;6)-[P4'-&alpha;-L-ara4<i>N</i>]-lipid A // ""formate"" // ""UDP"" // ""2-oxoglutarate"" // ""a tetrahydrofolate"" // ""H<SUP>+</SUP>"" // ""CO<SUB>2</SUB>"" // ""NADH"""
ppGpp biosynthesis	"gpp // ""relA"" // ""spoT"" // ""ndk"""	"Gpp // RELA-MONOMER // SPOT-MONOMER // ""nucleoside diphosphate kinase"""	Metabolic Regulators Biosynthesis	"ADP // ""H<SUP>+</SUP>"" // ""diphosphate"" // ""AMP"" // ""phosphate"""
preQ<sub>0</sub> biosynthesis	"folE // ""queD"" // ""queC"""	"GTP cyclohydrolase I // ""6-carboxy-5,6,7,8-tetrahydropterin synthase"" // ""7-cyano-7-deazaguanine synthase"""	Secondary Metabolites Biosynthesis	"preQ<sub>0</sub> // ""ADP"" // ""phosphate"" // ""PPP<SUB>i</SUB>"" // ""acetaldehyde"" // ""formate"""
proline degradation	putA	fused PutA DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase	L-proline Degradation	"an ubiquinol // ""L-glutamate"" // ""NADH"""
proline to cytochrome <i>bo</i> oxidase electron transfer	"cyoD // ""cyoA"" // ""cyoB"" // ""cyoC"" // ""putA"""	"cytochrome <i>bo</i> terminal oxidase // ""fused PutA DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase"""	"Aerobic Respiration // ""Electron Transfer"""	"(<i>S</i>)-1-pyrroline-5-carboxylate // ""H<sub>2</sub>O"""
propanoyl CoA degradation I	scpA	METHYLMALONYL-COA-EPIM-MONOMER //  // PROPIONYL-COA-CARBOXY-MONOMER	Propanoate Degradation	"H<SUP>+</SUP> // ""ADP"" // ""phosphate"" // ""succinyl-CoA"""
PRPP biosynthesis I	prs	PRPPSYN-MONOMER	PRPP Biosynthesis	"H<SUP>+</SUP> // ""5-phospho-&alpha;-D-ribose 1-diphosphate"" // ""AMP"""
PRPP biosynthesis II	"deoB // ""phnN"""	"ribose 1-phosphokinase // ""phosphopentomutase"" // EG10723-MONOMER"	PRPP Biosynthesis	"5-phospho-&alpha;-D-ribose 1-diphosphate // ""ADP"" // ""H<SUP>+</SUP>"""
pseudouridine degradation	"psuG // ""psuK"""	"predicted pseudouridine 5'-phosphate glycosidase // ""predicted pseudouridine kinase"""	Purine Nucleotides Degradation	"H<SUP>+</SUP> // ""ADP"" // ""D-ribofuranose 5-phosphate"" // ""uracil"""
purine deoxyribonucleosides degradation I	"deoD // ""add"""	"purine nucleoside phosphorylase // ""adenosine deaminase"""	Purine Nucleotides Degradation	"ammonium // ""adenine"" // ""2-deoxy-&alpha;-D-ribose 1-phosphate"" // ""guanine"" // ""hypoxanthine"""
purine ribonucleosides degradation	"add // ""deoD"" // ""xapA"" // ""deoB"""	"adenosine deaminase // ""purine nucleoside phosphorylase"" // ""xanthosine phosphorylase"" // ""phosphopentomutase"""	Purine Nucleotides Degradation	"D-ribose 5-phosphate // ""guanine"" // ""hypoxanthine"" // ""ammonium"" // ""adenine"" // ""xanthine"""
putrescine biosynthesis I	"speA // ""speB"""	"SpeA // ""SpeB"""	Putrescine Biosynthesis	"urea // ""putrescine"" // ""CO<SUB>2</SUB>"""
putrescine biosynthesis III	speC	"ornithine decarboxylase, biosynthetic"	Putrescine Biosynthesis	"CO<SUB>2</SUB> // ""putrescine"""
putrescine degradation I	"patD // ""patA"""	"&gamma;-aminobutyraldehyde dehydrogenase // ""putrescine aminotransferase"""	Putrescine Degradation	"L-glutamate // ""4-aminobutanoate"" // ""NADH"" // ""H<SUP>+</SUP>"""
putrescine degradation II	"puuD // ""puuC"" // ""puuB"" // ""puuA"""	"&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase // ""&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase"" // ""&gamma;-glutamylputrescine oxidase"" // ""glutamate-putrescine ligase"""	Putrescine Degradation	"H<SUP>+</SUP> // ""ADP"" // ""phosphate"" // ""hydrogen peroxide"" // ""ammonium"" // ""NAD(P)H"" // ""4-aminobutanoate"""
pyridoxal 5'-phosphate biosynthesis I	"pdxH // ""epd"" // ""dxs"" // ""pdxJ"" // ""pdxB"" // ""serC"" // ""pdxA"""	"PdxH // ""Epd"" // ""1-deoxyxylulose-5-phosphate synthase"" // ""PdxJ"" // ""erythronate-4-phosphate dehydrogenase"" //  // ""PdxA"""	Vitamin B<sub>6</sub> Biosynthesis	"NADH // ""CO<SUB>2</SUB>"" // ""2-oxoglutarate"" // ""phosphate"" // ""hydrogen peroxide"" // ""pyridoxal 5'-phosphate"""
pyridoxal 5'-phosphate salvage I	"pdxH // ""pdxK"" // ""pdxY"""	"PdxH // ""pyridoxal kinase I / hydroxymethylpyrimidine kinase"" // ""pyridoxal kinase 2"""	Vitamin B<sub>6</sub> Biosynthesis	"H<SUP>+</SUP> // ""ADP"" // ""pyridoxal 5'-phosphate"" // ""ammonium"" // ""hydrogen peroxide"""
pyrimidine deoxyribonucleosides degradation	"cdd // ""deoA"""	"cytidine deaminase // ""DeoA"""	Pyrimidine Deoxyribonucleosides Degradation	"2-deoxy-&alpha;-D-ribose 1-phosphate // ""thymine"" // ""uracil"" // ""ammonium"""
pyrimidine deoxyribonucleotide phosphorylation	"tmk // ""cmk"" // ""ndk"""	"DTMPKI-MONOMER // ""cytidylate kinase"" // ""nucleoside diphosphate kinase"""	"Metabolic Clusters // ""Pyrimidine Nucleotides Salvage"""	"dCTP // ""ADP"" // ""dTTP"""
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	"mazG // ""dut"" // ""nudI"" // ""thyA"" // ""tmk"" // ""ndk"" // ""nrdA"" // ""nrdB"" // ""trxA"" // ""trxC"""	"nucleoside triphosphate pyrophosphohydrolase // ""deoxyuridine triphosphatase"" // ""pyrimidine deoxynucleoside triphosphate pyrophosphohydrolase"" // ""thymidylate synthase"" // DTMPKI-MONOMER // ""nucleoside diphosphate kinase"" // ""ribonucleoside diphosphate reductase 1"""	"Metabolic Clusters // ""Pyrimidine Deoxyribonucleotides <i>De Novo</i> Biosynthesis"""	"H<SUP>+</SUP> // ""phosphate"" // ""an oxidized thioredoxin"" // ""dTTP"" // ""ADP"" // ""a 7,8-dihydrofolate"" // ""diphosphate"" // ""dCTP"""
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	"dcd // ""mazG"" // ""dut"" // ""nudI"" // ""thyA"" // ""tmk"" // ""ndk"" // ""nrdD"" // ""fldA"""	"Dcd // ""nucleoside triphosphate pyrophosphohydrolase"" // ""deoxyuridine triphosphatase"" // ""pyrimidine deoxynucleoside triphosphate pyrophosphohydrolase"" // ""thymidylate synthase"" // DTMPKI-MONOMER // ""nucleoside diphosphate kinase"" // ""ribonucleoside-triphosphate reductase"""	Pyrimidine Deoxyribonucleotides <i>De Novo</i> Biosynthesis	"an oxidized flavodoxin // ""dTTP"" // ""ADP"" // ""a 7,8-dihydrofolate"" // ""diphosphate"" // ""ammonium"""
pyrimidine deoxyribonucleotides dephosphorylation	"mazG // ""dut"" // ""nudI"" // ""nudG"""	"nucleoside triphosphate pyrophosphohydrolase // ""deoxyuridine triphosphatase"" // ""pyrimidine deoxynucleoside triphosphate pyrophosphohydrolase"" // ""5-hydroxy-CTP diphosphatase"""	"Metabolic Clusters // ""Pyrimidine Deoxyribonucleosides Degradation"""	"5-hydroxy-CMP // ""diphosphate"" // ""H<SUP>+</SUP>"" // ""dUMP"" // ""dCMP"""
pyrimidine nucleobases salvage I	upp	uracil phosphoribosyltransferase subunit	Pyrimidine Nucleotides Salvage	"diphosphate // ""UMP"""
pyrimidine nucleobases salvage II	"codA // ""upp"""	"cytosine deaminase // ""uracil phosphoribosyltransferase subunit"""	"Pyrimidine Nucleotides Salvage // ""Superpathways"""	"ammonium // ""uracil"""
pyrimidine ribonucleosides degradation	"cdd // ""udp"" // ""deoB"""	"cytidine deaminase // ""Udp"" // ""phosphopentomutase"""	Pyrimidine Ribonucleosides Degradation	"D-ribose 5-phosphate // ""uracil"" // ""ammonium"""
pyrimidine ribonucleosides salvage I	"cdd // ""udk"""	cytidine deaminase // UDK-MONOMER	Pyrimidine Nucleotides Salvage	"CMP // ""ADP"" // ""UMP"" // ""ammonium"""
pyrimidine ribonucleosides salvage II	"cdd // ""rihC"" // ""rihA"" // ""rihB"""	"cytidine deaminase // ""ribonucleoside hydrolase 3"" // ""ribonucleoside hydrolase 1 (pyrimidine-specific)"" // ""ribonucleoside hydrolase 2 (pyrimidine-specific)"""	"Pyrimidine Nucleotides Salvage // ""Pyrimidine Ribonucleosides Degradation"""	"D-ribofuranose // ""uracil"" // ""ammonium"""
pyrimidine ribonucleosides salvage III	"rihA // ""rihB"" // ""rihC"" // ""codA"""	"ribonucleoside hydrolase 1 (pyrimidine-specific) // ""ribonucleoside hydrolase 2 (pyrimidine-specific)"" // ""ribonucleoside hydrolase 3"" // ""cytosine deaminase"""	"Pyrimidine Nucleotides Salvage // ""Pyrimidine Ribonucleosides Degradation"""	"ammonium // ""uracil"" // ""D-ribofuranose"""
pyruvate decarboxylation to acetyl CoA	"aceF // ""lpd"" // ""aceE"""	"AceF // ""lipoamide dehydrogenase"" // ""pyruvate dehydrogenase"" // ""AceF"" // ""lipoamide dehydrogenase"" // ""pyruvate dehydrogenase"""	"Acetyl-CoA Biosynthesis // ""Carboxylates Degradation"""	"a [pyruvate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-acetyldihydrolipoyl-L-lysine // ""CO<SUB>2</SUB>"" // ""NADH"" // ""coenzyme A"""
pyruvate to cytochrome <i>bd</i> terminal oxidase electron transfer	"poxB // ""cydA"" // ""cydB"" // ""cydX"""	"pyruvate oxidase // ""cytochrome <i>bd</i>-I terminal oxidase subunit I"" // ""cytochrome <i>bd</i>-I terminal oxidase subunit II"" // ""cytochrome <i>bd</i>-I terminal oxidase - CydX subunit"""	"Aerobic Respiration // ""Electron Transfer"""	"CO<SUB>2</SUB> // ""acetate"""
pyruvate to cytochrome <i>bo</i> oxidase electron transfer	"poxB // ""cyoD"" // ""cyoA"" // ""cyoB"" // ""cyoC"""	"pyruvate oxidase // ""cytochrome <i>bo</i> terminal oxidase"""	"Aerobic Respiration // ""Electron Transfer"""	"CO<SUB>2</SUB> // ""acetate"""
"QseBC Two-Component Signal Transduction System, quorum sensing related"	"qseB // ""qseC"""		Signal transduction pathways	"QseB-Phosphorylated DNA-binding transcriptional activator // ""ADP"""
queuosine biosynthesis	"queF // ""tgt"" // ""queA"" // ""queG"""	"7-cyano-7-deazaguanine reductase // ""tRNA-guanine transglycosylase"" // EG10812-MONOMER // ""epoxyqueuosine reductase"""	Nucleic Acid Processing	"a queuosine<sup>34</sup> in tRNA // ""an oxidized unknown electron acceptor"" // ""H<sub>2</sub>O"" // ""adenine"" // ""L-methionine"" // ""guanine"" // ""NADP<sup>+</sup>"""
RcsCDB Two-Component Signal Transduction System	"rcsD // ""rcsB"" // ""rcsA"" // ""rcsC"""		Signal transduction pathways	"RcsAB DNA-binding transcriptional dual regulator // ""ADP"""
ribose degradation	"rbsK // ""rbsD"""	"ribokinase // ""ribose pyranase"""	Sugars Degradation	"&alpha;-D-ribose 5-phosphate // ""ADP"" // ""H<SUP>+</SUP>"""
RstBA Two-Component Signal Transduction System	"rstA // ""rstB"""		Signal transduction pathways	"RstA-Phosphorylated DNA-binding transcriptional regulator // ""ADP"""
S-adenosyl-L-methionine biosynthesis	metK	methionine adenosyltransferase	"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis"	"phosphate // ""diphosphate"" // ""<i>S</i>-adenosyl-L-methionine"""
<i>S</i>-adenosyl-L-methionine cycle I	"mtn // ""luxS"" // ""metK"" // ""metH"" // ""metE"""	"5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase // ""<i>S</i>-ribosylhomocysteine lyase"" // ""methionine adenosyltransferase"" // ""cobalamin-dependent methionine synthase"" // HOMOCYSMET-MONOMER"	"<i>S</i>-adenosyl-L-methionine cycle // ""Superpathways"""	"L-methionine // ""tetrahydropteroyl tri-L-glutamate"" // ""a methylated methyl donor"" // ""H<SUP>+</SUP>"" // ""autoinducer 2"" // ""adenine"""
<i>S</i>-methyl-5'-thioadenosine degradation IV	mtn	5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase	<i>S</i>-methyl-5'-thioadenosine Degradation	"<i>S</i>-methyl-5-thio-D-ribose // ""adenine"""
salvage pathways of pyrimidine deoxyribonucleotides	"cdd // ""deoA"" // ""tdk"""	"cytidine deaminase // ""DeoA"" // TDK-MONOMER"	Pyrimidine Nucleotides Salvage	"dTMP // ""ADP"" // ""uracil"" // ""dUMP"" // ""ammonium"""
salvage pathways of pyrimidine ribonucleotides	"upp // ""ndk"" // ""udp"" // ""cdd"" // ""codA"" // ""udk"" // ""cmk"""	"uracil phosphoribosyltransferase subunit // ""nucleoside diphosphate kinase"" // ""Udp"" // ""cytidine deaminase"" // ""cytosine deaminase"" // UDK-MONOMER // ""cytidylate kinase"""	Pyrimidine Nucleotides Salvage	"ADP // ""GDP"" // ""UMP"" // ""ammonium"" // ""&alpha;-D-ribose-1-phosphate"" // ""CTP"" // ""diphosphate"""
sedoheptulose bisphosphate bypass	"pfkA // ""fbaA"""	"6-phosphofructokinase I // ""fructose bisphosphate aldolase class II"""	Generation of Precursor Metabolites and Energy	"glycerone phosphate // ""D-erythrose 4-phosphate"" // ""H<SUP>+</SUP>"" // ""ADP"""
siroheme biosynthesis	cysG	siroheme synthase	Porphyrin Compounds Biosynthesis	"<i>S</i>-adenosyl-L-homocysteine // ""H<SUP>+</SUP>"" // ""siroheme"" // ""NADH"""
spermidine biosynthesis I	"speE // ""speD"""	"spermidine synthase // ""&alpha; cleavage product of SpeD"" // ""&beta; cleavage product of SpeD"""	Spermidine Biosynthesis	"CO<SUB>2</SUB> // ""spermidine"" // ""<i>S</i>-methyl-5'-thioadenosine"""
succinate to cytochrome <i>bd</i> oxidase electron transfer	"sdhD // ""sdhC"" // ""sdhB"" // ""sdhA"" // ""cydA"" // ""cydB"" // ""cydX"""	"succinate:quinone oxidoreductase subcomplex // ""cytochrome <i>bd</i>-I terminal oxidase subunit I"" // ""cytochrome <i>bd</i>-I terminal oxidase subunit II"" // ""cytochrome <i>bd</i>-I terminal oxidase - CydX subunit"""	"Aerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""fumarate"""
succinate to cytochrome <i>bo</i> oxidase electron transfer	"cyoD // ""cyoA"" // ""cyoB"" // ""cyoC"" // ""sdhD"" // ""sdhC"" // ""sdhB"" // ""sdhA"""	"cytochrome <i>bo</i> terminal oxidase // ""succinate:quinone oxidoreductase subcomplex"""	"Aerobic Respiration // ""Electron Transfer"""	"fumarate // ""H<sub>2</sub>O"""
sulfate activation for sulfonation	"cysD // ""cysN"" // ""cysC"""	"sulfate adenylyltransferase // ""CysC"""	"Activation // ""Sulfur Compounds Metabolism"""	"3'-phosphoadenylyl-sulfate // ""ADP"" // ""diphosphate"""
sulfate reduction I (assimilatory)	"cysH // ""cysJ"" // ""cysI"" // ""cysD"" // ""cysN"" // ""cysC"" // ""trxA"" // ""trxC"""	"CysH // ""assimilatory sulfite reductase (NADPH)"" // ""sulfate adenylyltransferase"" // ""CysC"""	"Sulfate Reduction // ""Superpathways"""	"H<sub>2</sub>O // ""NADP<sup>+</sup>"" // ""hydrogen sulfide"" // ""adenosine 3',5'-bisphosphate"" // ""an oxidized thioredoxin"""
sulfoquinovose degradation I	"yihT // ""yihU"" // ""yihV"" // ""yihS"""	"6-deoxy-6-sulfofructose-1-phosphate aldolase // ""3-sulfolactaldehyde reductase"" // ""6-deoxy-6-sulfofructose kinase"" // ""sulfoquinovose isomerase"""	Sulfoquinovose Degradation	"ADP // ""3-sulfopropanediol"" // ""NAD<sup>+</sup>"" // ""glycerone phosphate"""
superoxide radicals degradation	"sodA // ""sodB"" // ""sodC"" // ""katE"" // ""katG"" // ""adeD"""	"superoxide dismutase (Mn) // ""superoxide dismutase (Fe)"" // ""superoxide dismutase (Cu-Zn)"" // ""catalase II"" // ""hydroperoxidase I"" // ""cryptic adenine deaminase"""	Reactive Oxygen Species Degradation	"H<sub>2</sub>O // ""oxygen"""
superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis	"waaA // ""lpxB"" // ""lpxK"" // ""lpxH"" // ""lpxD"" // ""lpxC"" // ""lpxA"" // ""lpxL"" // ""lpxP"" // ""lpxM"" // ""kdsB"" // ""kdsC"" // ""kdsA"" // ""kdsD"" // ""gutQ"" // ""acpP"" // ""entB"""	"KDO transferase // ""lipid A disaccharide synthase"" // TETRAACYLDISACC4KIN-MONOMER // EG12666-MONOMER //  // UDPACYLGLCNACDEACETYL-MONOMER // ""LpxA"" // LAUROYLACYLTRAN-MONOMER // PALMITOTRANS-MONOMER // MYRISTOYLACYLTRAN-MONOMER // ""3-deoxy-D-<i>manno</i>-octulosonate cytidylyltransferase"" // ""3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase"" // ""3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase"" // ""D-arabinose 5-phosphate isomerase"" // ""D-arabinose 5-phosphate isomerase"""	"Fatty Acid and Lipid Biosynthesis // ""Lipopolysaccharide Biosynthesis"" // ""Superpathways"""	"(Kdo)<SUB>2</SUB>-lipid A, cold adapted // ""a <i>holo</i>-[acyl-carrier protein]"" // ""&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A"""
superpathway of 4-aminobutanoate degradation	"sad // ""gabT"" // ""puuE"" // ""gabD"""	"NAD<sup>+</sup>-dependent succinate semialdehyde dehydrogenase // ""4-aminobutyrate aminotransferase"" // ""4-aminobutyrate aminotransferase"" // ""succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>)"""	"4-Aminobutanoate Degradation // ""Superpathways"""	
superpathway of 5-aminoimidazole ribonucleotide biosynthesis	"purN // ""purF"" // ""purD"" // ""purL"" // ""purM"" // ""purT"""	"phosphoribosylglycinamide formyltransferase 1 // ""PurF"" // GLYCRIBONUCSYN-MONOMER // FGAMSYN-MONOMER // ""PurM"" // ""phosphoribosylglycinamide formyltransferase 2"""	"5-Aminoimidazole Ribonucleotide Biosynthesis // ""Superpathways"""	"H<SUP>+</SUP> // ""phosphate"" // ""ADP"" // ""5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole"" // ""L-glutamate"" // ""diphosphate"""
superpathway of acetate utilization and formation	"acs // ""ackA"" // ""purT"" // ""pta"" // ""eutD"""	"acetyl-CoA synthetase (AMP-forming) // ""acetate kinase"" // ""phosphoribosylglycinamide formyltransferase 2"" // ""Pta"" // ""phosphate acetyltransferase"""	"Carboxylates Degradation // ""Superpathways"""	
superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II	"purA // ""purB"" // ""adk"" // ""atpB"" // ""atpF"" // ""atpE"" // ""atpD"" // ""atpG"" // ""atpA"" // ""atpH"" // ""atpC"" // ""nrdA"" // ""nrdB"" // ""nrdE"" // ""nrdF"" // ""ndk"" // ""nrdD"" // ""fldA"" // ""nrdH"" // ""trxA"" // ""trxC"""	"adenylosuccinate synthetase // ""adenylosuccinate lyase"" // ""adenylate kinase"" // ""ATP synthase F<sub>0</sub> complex"" // ""ATP synthase F<sub>1</sub> complex"" // ""ribonucleoside diphosphate reductase 1"" // ""ribonucleoside-diphosphate reductase 2"" // ""nucleoside diphosphate kinase"" // ""ribonucleoside-triphosphate reductase"""	"Purine Nucleotides <i>De Novo</i> Biosynthesis // ""Superpathways"""	
superpathway of arginine and polyamine biosynthesis	"speA // ""adiA"" // ""speB"" // ""speC"" // ""speF"" // ""speD"" // ""speE"" // ""cadA"" // ""ldcC"" // ""argG"" // ""argH"" // ""argI"" // ""argF"" // ""carB"" // ""carA"" // ""argA"" // ""argB"" // ""argC"" // ""argD"" // ""astC"" // ""gabT"" // ""argE"""	"SpeA // ""Adi"" // ""SpeB"" // ""ornithine decarboxylase, biosynthetic"" // ""ornithine decarboxylase, degradative"" // ""&alpha; cleavage product of SpeD"" // ""&beta; cleavage product of SpeD"" // ""spermidine synthase"" // ""lysine decarboxylase 1"" // ""lysine decarboxylase 2"" // ""ArgG"" // ARGSUCCINLYA-MONOMER // ""ornithine carbamoyltransferase chain I"" // ""ornithine carbamoyltransferase chain F"" // ""carbamoyl phosphate synthetase, &beta; chain"" // ""carbamoyl phosphate synthetase, &alpha; chain"" // ""N-acetylglutamate synthase"" // ""acetylglutamate kinase"" // N-ACETYLGLUTPREDUCT-MONOMER // ""<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase"" // ""succinylornithine transaminase"" // ""4-aminobutyrate aminotransferase"" // ""ArgE"""	"Amines and Polyamines Biosynthesis // ""Superpathways"""	
superpathway of aromatic amino acid biosynthesis	"aroB // ""aroG"" // ""aroH"" // ""aroF"" // ""aroC"" // ""aroA"" // ""aroL"" // ""aroK"" // ""aroE"" // ""aroD"" // ""ydiB"" // ""trpC"" // ""trpE"" // ""trpD"" // ""trpA"" // ""trpB"" // ""ilvE"" // ""tyrB"" // ""aspC"" // ""pheA"" // ""tyrA"""	"AROB-MONOMER // ""AroG"" // ""AroH"" // ""AroF"" // ""AroC"" // AROA-MONOMER // ""shikimate kinase II"" // ""shikimate kinase I"" // AROE-MONOMER // ""AroD"" //  // PRAI-IGPS // ""anthranilate synthase component II"" // ""anthranilate synthase component I"" // ""anthranilate synthase component II"" // ""tryptophan synthase, &alpha; subunit"" // ""tryptophan synthase, &alpha; subunit"" // ""tryptophan synthase, &beta; subunit dimer"" // ""tryptophan synthase, &beta; subunit dimer"" // ""branched-chain amino-acid aminotransferase"" // ""tyrosine aminotransferase"" // ""aspartate aminotransferase, PLP-dependent"" // ""chorismate mutase / prephenate dehydratase"" // ""chorismate mutase / prephenate dehydrogenase"""	"Amino Acids Biosynthesis // ""Superpathways"""	
superpathway of &beta;-D-glucuronide and D-glucuronate degradation	"uxuB // ""uxuA"" // ""kdgK"" // ""eda"" // ""uxaC"" // ""uidA"""	"MANNONOXIDOREDUCT-MONOMER // MANNONDEHYDRAT-MONOMER // ""2-keto-3-deoxygluconokinase"" // ""multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase"" // UXAC-MONOMER // ""&beta;-D-glucuronidase"""	"D-Glucuronate Degradation // ""Superpathways"""	
superpathway of branched chain amino acid biosynthesis	"leuB // ""dmlA"" // ""tyrB"" // ""leuA"" // ""leuC"" // ""leuD"" // ""ilvD"" // ""ilvE"" // ""ilvC"" // ""ilvI"" // ""ilvH"" // ""ilvB"" // ""ilvN"" // ""ilvG_1"" // ""ilvG_2"" // ""ilvM"" // ""tdcB"" // ""ilvA"""	"LeuB // ""D-malate / 3-isopropylmalate dehydrogenase (decarboxylating)"" // ""tyrosine aminotransferase"" // ""2-isopropylmalate synthase"" // ""isopropylmalate isomerase"" // ""dihydroxy acid dehydratase"" // ""branched-chain amino-acid aminotransferase"" // ""acetohydroxy acid isomeroreductase"" // ""IlvI"" // ""IlvH"" // ""acetohydroxy acid synthase I, large subunit"" // ""acetohydroxy acid synthase I, small subunit"" // ""acetolactate synthase II, large subunit, N-ter fragment (pseudogene)"" // ""acetolactate synthase II, large subunit, C-ter fragment (pseudogene)"" // ""IlvM"" // ""catabolic threonine dehydratase"" // ""threonine deaminase"""	"Amino Acids Biosynthesis // ""Superpathways"""	
